Area_name,STCOU,POP010130F,POP010130D,POP010130N1,POP010130N2,POP010140F,POP010140D,POP010140N1,POP010140N2,POP010150F,POP010150D,POP010150N1,POP010150N2,POP010160F,POP010160D,POP010160N1,POP010160N2,POP010170F,POP010170D,POP010170N1,POP010170N2,POP010180F,POP010180D,POP010180N1,POP010180N2,POP010190F,POP010190D,POP010190N1,POP010190N2,POP010200F,POP010200D,POP010200N1,POP010200N2,POP010210F,POP010210D,POP010210N1,POP010210N2,POP020170F,POP020170D,POP020170N1,POP020170N2
UNITED STATES,00000,0,123202624,0000,0000,0,132164569,0000,0000,0,151325798,0000,0000,0,179323175,0000,0000,0,203211926,0000,0000,0,226545805,0000,0000,0,248709873,0000,0000,0,281421906,0000,0000,0,308745538,0000,0000,0,203302020,0000,0000
ALABAMA,01000,0,2646248,0000,0000,0,2832961,0000,0000,0,3061743,0000,0000,0,3266740,0000,0000,0,3444165,0000,0000,0,3893888,0000,0000,0,4040587,0000,0000,0,4447100,0000,0000,0,4779736,0000,0000,0,3444354,0000,0000
"Autauga, AL",01001,0,19694,0000,0000,0,20977,0000,0000,0,18186,0000,0000,0,18739,0000,0000,0,24460,0000,0000,0,32259,0000,0000,0,34222,0000,0000,0,43671,0000,0000,0,54571,0000,0000,0,24460,0000,0000
"Baldwin, AL",01003,0,28289,0000,0000,0,32324,0000,0000,0,40997,0000,0000,0,49088,0000,0000,0,59382,0000,0000,0,78556,0000,0000,0,98280,0000,0000,0,140415,0000,0000,0,182265,0000,0000,0,59382,0000,0000
"Barbour, AL",01005,0,32425,0000,0000,0,32722,0000,0000,0,28892,0000,0000,0,24700,0000,0000,0,22543,0000,0000,0,24756,0000,0000,0,25417,0000,0000,0,29038,0000,0000,0,27457,0000,0000,0,22543,0000,0000
"Bibb, AL",01007,0,20780,0000,0000,0,20155,0000,0000,0,17987,0000,0000,0,14357,0000,0000,0,13812,0000,0000,0,15723,0000,0000,0,16576,0000,0000,0,20826,0000,0000,0,22915,0000,0000,0,13812,0000,0000
"Blount, AL",01009,0,28020,0000,0000,0,29490,0000,0000,0,28975,0000,0000,0,25449,0000,0000,0,26853,0000,0000,0,36459,0000,0000,0,39248,0000,0000,0,51024,0000,0000,0,57322,0000,0000,0,26853,0000,0000
"Bullock, AL",01011,0,20016,0000,0000,0,19810,0000,0000,0,16054,0000,0000,0,13462,0000,0000,0,11824,0000,0000,0,10596,0000,0000,0,11042,0000,0000,0,11714,0000,0000,0,10914,0000,0000,0,11824,0000,0000
"Butler, AL",01013,0,30195,0000,0000,0,32447,0000,0000,0,29228,0000,0000,0,24560,0000,0000,0,22007,0000,0000,0,21680,0000,0000,0,21892,0000,0000,0,21399,0000,0000,0,20947,0000,0000,0,22007,0000,0000
"Calhoun, AL",01015,0,55611,0000,0000,0,63319,0000,0000,0,79539,0000,0000,0,95878,0000,0000,0,103092,0000,0000,0,119761,0000,0000,0,116034,0000,0000,0,112249,0000,0000,0,118572,0000,0000,0,103092,0000,0000
"Chambers, AL",01017,0,39313,0000,0000,0,42146,0000,0000,0,39528,0000,0000,0,37828,0000,0000,0,36356,0000,0000,0,39191,0000,0000,0,36876,0000,0000,0,36583,0000,0000,0,34215,0000,0000,0,36356,0000,0000
"Cherokee, AL",01019,0,20219,0000,0000,0,19928,0000,0000,0,17634,0000,0000,0,16303,0000,0000,0,15606,0000,0000,0,18760,0000,0000,0,19543,0000,0000,0,23988,0000,0000,0,25989,0000,0000,0,15606,0000,0000
"Chilton, AL",01021,0,24579,0000,0000,0,27955,0000,0000,0,26922,0000,0000,0,25693,0000,0000,0,25180,0000,0000,0,30612,0000,0000,0,32458,0000,0000,0,39593,0000,0000,0,43643,0000,0000,0,25180,0000,0000
"Choctaw, AL",01023,0,20513,0000,0000,0,20195,0000,0000,0,19152,0000,0000,0,17870,0000,0000,0,16589,0000,0000,0,16839,0000,0000,0,16018,0000,0000,0,15922,0000,0000,0,13859,0000,0000,0,16589,0000,0000
"Clarke, AL",01025,0,26016,0000,0000,0,27636,0000,0000,0,26548,0000,0000,0,25738,0000,0000,0,26724,0000,0000,0,27702,0000,0000,0,27240,0000,0000,0,27867,0000,0000,0,25833,0000,0000,0,26724,0000,0000
"Clay, AL",01027,0,17768,0000,0000,0,16907,0000,0000,0,13929,0000,0000,0,12400,0000,0000,0,12636,0000,0000,0,13703,0000,0000,0,13252,0000,0000,0,14254,0000,0000,0,13932,0000,0000,0,12636,0000,0000
"Cleburne, AL",01029,0,12877,0000,0000,0,13629,0000,0000,0,11904,0000,0000,0,10911,0000,0000,0,10996,0000,0000,0,12595,0000,0000,0,12730,0000,0000,0,14123,0000,0000,0,14972,0000,0000,0,10996,0000,0000
"Coffee, AL",01031,0,32556,0000,0000,0,31987,0000,0000,0,30720,0000,0000,0,30583,0000,0000,0,34872,0000,0000,0,38533,0000,0000,0,40240,0000,0000,0,43615,0000,0000,0,49948,0000,0000,0,34872,0000,0000
"Colbert, AL",01033,0,29860,0000,0000,0,34093,0000,0000,0,39561,0000,0000,0,46506,0000,0000,0,49632,0000,0000,0,54519,0000,0000,0,51666,0000,0000,0,54984,0000,0000,0,54428,0000,0000,0,49632,0000,0000
"Conecuh, AL",01035,0,25429,0000,0000,0,25489,0000,0000,0,21776,0000,0000,0,17762,0000,0000,0,15645,0000,0000,0,15884,0000,0000,0,14054,0000,0000,0,14089,0000,0000,0,13228,0000,0000,0,15645,0000,0000
"Coosa, AL",01037,0,12460,0000,0000,0,13460,0000,0000,0,11766,0000,0000,0,10726,0000,0000,0,10662,0000,0000,0,11377,0000,0000,0,11063,0000,0000,0,12202,0000,0000,0,11539,0000,0000,0,10662,0000,0000
"Covington, AL",01039,0,41356,0000,0000,0,42417,0000,0000,0,40373,0000,0000,0,35631,0000,0000,0,34079,0000,0000,0,36850,0000,0000,0,36478,0000,0000,0,37631,0000,0000,0,37765,0000,0000,0,34079,0000,0000
"Crenshaw, AL",01041,0,23656,0000,0000,0,23631,0000,0000,0,18981,0000,0000,0,14909,0000,0000,0,13188,0000,0000,0,14110,0000,0000,0,13635,0000,0000,0,13665,0000,0000,0,13906,0000,0000,0,13188,0000,0000
"Cullman, AL",01043,0,41051,0000,0000,0,47343,0000,0000,0,49046,0000,0000,0,45572,0000,0000,0,52445,0000,0000,0,61642,0000,0000,0,67613,0000,0000,0,77483,0000,0000,0,80406,0000,0000,0,52445,0000,0000
"Dale, AL",01045,0,23175,0000,0000,0,22685,0000,0000,0,20828,0000,0000,0,31066,0000,0000,0,52938,0000,0000,0,47821,0000,0000,0,49633,0000,0000,0,49129,0000,0000,0,50251,0000,0000,0,52995,0000,0000
"Dallas, AL",01047,0,55094,0000,0000,0,55245,0000,0000,0,56270,0000,0000,0,56667,0000,0000,0,55296,0000,0000,0,53981,0000,0000,0,48130,0000,0000,0,46365,0000,0000,0,43820,0000,0000,0,55296,0000,0000
"DeKalb, AL",01049,0,40104,0000,0000,0,43075,0000,0000,0,45048,0000,0000,0,41417,0000,0000,0,41981,0000,0000,0,53658,0000,0000,0,54651,0000,0000,0,64452,0000,0000,0,71109,0000,0000,0,41981,0000,0000
"Elmore, AL",01051,0,34280,0000,0000,0,34546,0000,0000,0,31649,0000,0000,0,30524,0000,0000,0,33535,0000,0000,0,43390,0000,0000,0,49210,0000,0000,0,65874,0000,0000,0,79303,0000,0000,0,33661,0000,0000
"Escambia, AL",01053,0,27963,0000,0000,0,30671,0000,0000,0,31443,0000,0000,0,33511,0000,0000,0,34906,0000,0000,0,38440,0000,0000,0,35518,0000,0000,0,38440,0000,0000,0,38319,0000,0000,0,34912,0000,0000
"Etowah, AL",01055,0,63399,0000,0000,0,72580,0000,0000,0,93892,0000,0000,0,96980,0000,0000,0,94144,0000,0000,0,103057,0000,0000,0,99840,0000,0000,0,103459,0000,0000,0,104430,0000,0000,0,94144,0000,0000
"Fayette, AL",01057,0,18443,0000,0000,0,21651,0000,0000,0,19388,0000,0000,0,16148,0000,0000,0,16252,0000,0000,0,18809,0000,0000,0,17962,0000,0000,0,18495,0000,0000,0,17241,0000,0000,0,16252,0000,0000
"Franklin, AL",01059,0,25372,0000,0000,0,27552,0000,0000,0,25705,0000,0000,0,21988,0000,0000,0,23933,0000,0000,0,28350,0000,0000,0,27814,0000,0000,0,31223,0000,0000,0,31704,0000,0000,0,23933,0000,0000
"Geneva, AL",01061,0,30104,0000,0000,0,29172,0000,0000,0,25899,0000,0000,0,22310,0000,0000,0,21924,0000,0000,0,24253,0000,0000,0,23647,0000,0000,0,25764,0000,0000,0,26790,0000,0000,0,21924,0000,0000
"Greene, AL",01063,0,19745,0000,0000,0,19185,0000,0000,0,16482,0000,0000,0,13600,0000,0000,0,10650,0000,0000,0,11021,0000,0000,0,10153,0000,0000,0,9974,0000,0000,0,9045,0000,0000,0,10650,0000,0000
"Hale, AL",01065,0,26265,0000,0000,0,25533,0000,0000,0,20832,0000,0000,0,19537,0000,0000,0,15888,0000,0000,0,15604,0000,0000,0,15498,0000,0000,0,17185,0000,0000,0,15760,0000,0000,0,15888,0000,0000
"Henry, AL",01067,0,22820,0000,0000,0,21912,0000,0000,0,18674,0000,0000,0,15286,0000,0000,0,13254,0000,0000,0,15302,0000,0000,0,15374,0000,0000,0,16310,0000,0000,0,17302,0000,0000,0,13254,0000,0000
"Houston, AL",01069,0,45935,0000,0000,0,45665,0000,0000,0,46522,0000,0000,0,50718,0000,0000,0,56574,0000,0000,0,74632,0000,0000,0,81331,0000,0000,0,88787,0000,0000,0,101547,0000,0000,0,56574,0000,0000
"Jackson, AL",01071,0,36881,0000,0000,0,41802,0000,0000,0,38998,0000,0000,0,36681,0000,0000,0,39202,0000,0000,0,51407,0000,0000,0,47796,0000,0000,0,53926,0000,0000,0,53227,0000,0000,0,39202,0000,0000
"Jefferson, AL",01073,0,431493,0000,0000,0,459930,0000,0000,0,558928,0000,0000,0,634864,0000,0000,0,644991,0000,0000,0,671324,0000,0000,0,651525,0000,0000,0,662047,0000,0000,0,658466,0000,0000,0,644991,0000,0000
"Lamar, AL",01075,0,18001,0000,0000,0,19708,0000,0000,0,16441,0000,0000,0,14271,0000,0000,0,14335,0000,0000,0,16453,0000,0000,0,15715,0000,0000,0,15904,0000,0000,0,14564,0000,0000,0,14335,0000,0000
"Lauderdale, AL",01077,0,41130,0000,0000,0,46230,0000,0000,0,54179,0000,0000,0,61622,0000,0000,0,68111,0000,0000,0,80546,0000,0000,0,79661,0000,0000,0,87966,0000,0000,0,92709,0000,0000,0,68111,0000,0000
"Lawrence, AL",01079,0,26942,0000,0000,0,27880,0000,0000,0,27128,0000,0000,0,24501,0000,0000,0,27281,0000,0000,0,30170,0000,0000,0,31513,0000,0000,0,34803,0000,0000,0,34339,0000,0000,0,27281,0000,0000
"Lee, AL",01081,0,36063,0000,0000,0,36455,0000,0000,0,45073,0000,0000,0,49754,0000,0000,0,61268,0000,0000,0,76283,0000,0000,0,87146,0000,0000,0,115092,0000,0000,0,140247,0000,0000,0,61268,0000,0000
"Limestone, AL",01083,0,36629,0000,0000,0,35642,0000,0000,0,35766,0000,0000,0,36513,0000,0000,0,41699,0000,0000,0,46005,0000,0000,0,54135,0000,0000,0,65676,0000,0000,0,82782,0000,0000,0,41699,0000,0000
"Lowndes, AL",01085,0,22878,0000,0000,0,22661,0000,0000,0,18018,0000,0000,0,15417,0000,0000,0,12897,0000,0000,0,13253,0000,0000,0,12658,0000,0000,0,13473,0000,0000,0,11299,0000,0000,0,12897,0000,0000
"Macon, AL",01087,0,27103,0000,0000,0,27654,0000,0000,0,30561,0000,0000,0,26717,0000,0000,0,24841,0000,0000,0,26829,0000,0000,0,24928,0000,0000,0,24105,0000,0000,0,21452,0000,0000,0,24841,0000,0000
"Madison, AL",01089,0,64623,0000,0000,0,66317,0000,0000,0,72903,0000,0000,0,117348,0000,0000,0,186540,0000,0000,0,196966,0000,0000,0,238912,0000,0000,0,276700,0000,0000,0,334811,0000,0000,0,186540,0000,0000
"Marengo, AL",01091,0,36426,0000,0000,0,35736,0000,0000,0,29494,0000,0000,0,27098,0000,0000,0,23819,0000,0000,0,25047,0000,0000,0,23084,0000,0000,0,22539,0000,0000,0,21027,0000,0000,0,23819,0000,0000
"Marion, AL",01093,0,25967,0000,0000,0,28776,0000,0000,0,27264,0000,0000,0,21837,0000,0000,0,23788,0000,0000,0,30041,0000,0000,0,29830,0000,0000,0,31214,0000,0000,0,30776,0000,0000,0,23788,0000,0000
"Marshall, AL",01095,0,39802,0000,0000,0,42395,0000,0000,0,45090,0000,0000,0,48018,0000,0000,0,54211,0000,0000,0,65622,0000,0000,0,70832,0000,0000,0,82231,0000,0000,0,93019,0000,0000,0,54211,0000,0000
"Mobile, AL",01097,0,118363,0000,0000,0,141974,0000,0000,0,231105,0000,0000,0,314301,0000,0000,0,317308,0000,0000,0,364980,0000,0000,0,378643,0000,0000,0,399843,0000,0000,0,412992,0000,0000,0,317308,0000,0000
"Monroe, AL",01099,0,30070,0000,0000,0,29465,0000,0000,0,25732,0000,0000,0,22372,0000,0000,0,20883,0000,0000,0,22651,0000,0000,0,23968,0000,0000,0,24324,0000,0000,0,23068,0000,0000,0,20883,0000,0000
"Montgomery, AL",01101,0,98671,0000,0000,0,114420,0000,0000,0,138965,0000,0000,0,169210,0000,0000,0,167790,0000,0000,0,197038,0000,0000,0,209085,0000,0000,0,223510,0000,0000,0,229363,0000,0000,0,167790,0000,0000
"Morgan, AL",01103,0,46176,0000,0000,0,48148,0000,0000,0,52924,0000,0000,0,60454,0000,0000,0,77306,0000,0000,0,90231,0000,0000,0,100043,0000,0000,0,111064,0000,0000,0,119490,0000,0000,0,77306,0000,0000
"Perry, AL",01105,0,26385,0000,0000,0,26610,0000,0000,0,20439,0000,0000,0,17358,0000,0000,0,15388,0000,0000,0,15012,0000,0000,0,12759,0000,0000,0,11861,0000,0000,0,10591,0000,0000,0,15388,0000,0000
"Pickens, AL",01107,0,24902,0000,0000,0,27671,0000,0000,0,24349,0000,0000,0,21882,0000,0000,0,20326,0000,0000,0,21481,0000,0000,0,20699,0000,0000,0,20949,0000,0000,0,19746,0000,0000,0,20326,0000,0000
"Pike, AL",01109,0,32240,0000,0000,0,32493,0000,0000,0,30608,0000,0000,0,25987,0000,0000,0,25038,0000,0000,0,28050,0000,0000,0,27595,0000,0000,0,29605,0000,0000,0,32899,0000,0000,0,25038,0000,0000
"Randolph, AL",01111,0,26861,0000,0000,0,25516,0000,0000,0,22513,0000,0000,0,19477,0000,0000,0,18331,0000,0000,0,20075,0000,0000,0,19881,0000,0000,0,22380,0000,0000,0,22913,0000,0000,0,18331,0000,0000
"Russell, AL",01113,0,27377,0000,0000,0,35775,0000,0000,0,40364,0000,0000,0,46351,0000,0000,0,45394,0000,0000,0,47356,0000,0000,0,46860,0000,0000,0,49756,0000,0000,0,52947,0000,0000,0,45394,0000,0000
"St. Clair, AL",01115,0,24510,0000,0000,0,27336,0000,0000,0,26687,0000,0000,0,25388,0000,0000,0,27956,0000,0000,0,41205,0000,0000,0,50009,0000,0000,0,64742,0000,0000,0,83593,0000,0000,0,27956,0000,0000
"Shelby, AL",01117,0,27576,0000,0000,0,28962,0000,0000,0,30362,0000,0000,0,32132,0000,0000,0,38037,0000,0000,0,66298,0000,0000,0,99358,0000,0000,0,143293,0000,0000,0,195085,0000,0000,0,38037,0000,0000
"Sumter, AL",01119,0,26929,0000,0000,0,27321,0000,0000,0,23610,0000,0000,0,20041,0000,0000,0,16974,0000,0000,0,16908,0000,0000,0,16174,0000,0000,0,14798,0000,0000,0,13763,0000,0000,0,16974,0000,0000
"Talladega, AL",01121,0,45241,0000,0000,0,51832,0000,0000,0,63639,0000,0000,0,65495,0000,0000,0,65280,0000,0000,0,73826,0000,0000,0,74107,0000,0000,0,80321,0000,0000,0,82291,0000,0000,0,65280,0000,0000
"Tallapoosa, AL",01123,0,31188,0000,0000,0,35270,0000,0000,0,35074,0000,0000,0,35007,0000,0000,0,33840,0000,0000,0,38676,0000,0000,0,38826,0000,0000,0,41475,0000,0000,0,41616,0000,0000,0,33840,0000,0000
"Tuscaloosa, AL",01125,0,64153,0000,0000,0,76036,0000,0000,0,94092,0000,0000,0,109047,0000,0000,0,116029,0000,0000,0,137541,0000,0000,0,150522,0000,0000,0,164875,0000,0000,0,194656,0000,0000,0,116029,0000,0000
"Walker, AL",01127,0,59445,0000,0000,0,64201,0000,0000,0,63769,0000,0000,0,54211,0000,0000,0,56246,0000,0000,0,68660,0000,0000,0,67670,0000,0000,0,70713,0000,0000,0,67023,0000,0000,0,56246,0000,0000
"Washington, AL",01129,0,16365,0000,0000,0,16188,0000,0000,0,15612,0000,0000,0,15372,0000,0000,0,16241,0000,0000,0,16821,0000,0000,0,16694,0000,0000,0,18097,0000,0000,0,17581,0000,0000,0,16241,0000,0000
"Wilcox, AL",01131,0,24880,0000,0000,0,26279,0000,0000,0,23476,0000,0000,0,18739,0000,0000,0,16303,0000,0000,0,14755,0000,0000,0,13568,0000,0000,0,13183,0000,0000,0,11670,0000,0000,0,16303,0000,0000
"Winston, AL",01133,0,15596,0000,0000,0,18746,0000,0000,0,18250,0000,0000,0,14858,0000,0000,0,16654,0000,0000,0,21953,0000,0000,0,22053,0000,0000,0,24843,0000,0000,0,24484,0000,0000,0,16654,0000,0000
ALASKA,02000,0,59278,0000,0000,0,72524,0000,0000,0,128643,0000,0000,0,226167,0000,0000,0,300382,0000,0000,0,401851,0000,0000,0,550043,0000,0000,0,626932,0000,0000,0,710231,0000,0000,0,302583,0000,0000
"Aleutians East, AK",02013,2,0,5093,0000,2,0,5093,0000,2,0,5093,0000,2,0,5080,0000,2,0,5080,0000,2,0,5080,0000,0,2464,0000,0000,0,2697,0000,0000,0,3141,0000,0000,2,0,5080,0000
"Aleutians West, AK",02016,2,0,5093,0000,2,0,5093,0000,2,0,5093,0000,1,6011,5080,0000,1,8057,5080,0000,1,7768,5080,0000,0,9478,0000,0000,0,5465,0000,0000,0,5561,0000,0000,1,7834,5080,0000
"Anchorage, AK",02020,1,16309,5093,0000,1,19312,5093,0000,1,59518,5093,0000,0,82833,0000,0000,0,124542,0000,0000,0,174431,0000,0000,0,226338,0000,0000,0,260283,0000,0000,0,291826,0000,0000,0,126385,0000,0000
"Bethel, AK",02050,2,0,5094,0000,2,0,5094,0000,2,0,5094,0000,0,6685,0000,0000,0,8729,0000,0000,0,10999,0000,0000,0,13656,0000,0000,0,16006,0000,0000,0,17013,0000,0000,0,8917,0000,0000
"Bristol Bay, AK",02060,2,0,5093,0000,2,0,5093,0000,2,0,5093,0000,1,0,5086,0000,0,1147,0000,0000,0,1094,0000,0000,0,1410,0000,0000,0,1258,0000,0000,0,997,0000,0000,0,1147,0000,0000
"Denali, AK",02068,2,0,5094,0000,2,0,5094,0000,2,0,5094,0000,2,0,5082,0000,2,0,5082,0000,2,0,5082,0000,2,0,5082,0000,0,1893,0000,0000,0,1826,0000,0000,2,0,5082,0000
"Dillingham, AK",02070,2,0,5093,0000,2,0,5093,0000,2,0,5093,0000,1,4024,5086,0000,1,3485,5081,0000,1,4616,5081,0000,0,4012,0000,0000,0,4922,0000,0000,0,4847,0000,0000,1,3872,5081,0000
"Fairbanks North Star, AK",02090,1,13538,5094,0000,1,16094,5094,0000,1,28650,5094,0000,1,43412,5085,0000,0,45864,0000,0000,0,53983,0000,0000,0,77720,0000,0000,0,82840,0000,0000,0,97581,0000,0000,0,45864,0000,0000
"Haines, AK",02100,2,0,5091,0000,2,0,5091,0000,2,0,5091,0000,2,0,5087,0000,0,1504,0000,0000,0,1680,0000,0000,0,2117,0000,0000,0,2392,0000,0000,0,2508,0000,0000,0,1401,0000,0000
"Hoonah-Angoon, AK",02105,2,0,5091,0000,2,0,5091,0000,2,0,5091,0000,1,2945,5087,0000,1,2660,5084,0000,1,3478,5084,0000,1,4385,5084,0000,1,3436,5084,0000,0,2150,0000,0000,1,2792,5084,0000
"Juneau, AK",02110,1,19304,5091,0000,1,25241,5091,0000,1,28203,5091,0000,0,9745,0000,0000,0,13556,0000,0000,0,19528,0000,0000,0,26751,0000,0000,0,30711,0000,0000,0,31275,0000,0000,0,13556,0000,0000
"Kenai Peninsula, AK",02122,2,0,5093,0000,2,0,5093,0000,2,0,5093,0000,0,9053,0000,0000,0,16586,0000,0000,0,25282,0000,0000,0,40802,0000,0000,0,49691,0000,0000,0,55400,0000,0000,0,16586,0000,0000
"Ketchikan Gateway, AK",02130,2,0,5091,0000,2,0,5091,0000,2,0,5091,0000,0,10070,0000,0000,0,10041,0000,0000,0,11316,0000,0000,0,13828,0000,0000,0,14070,0000,0000,0,13477,0000,0000,0,10041,0000,0000
"Kodiak Island, AK",02150,2,0,5093,0000,2,0,5093,0000,2,0,5093,0000,0,7174,0000,0000,0,9409,0000,0000,0,9939,0000,0000,0,13309,0000,0000,0,13913,0000,0000,0,13592,0000,0000,0,9409,0000,0000
"Lake and Peninsula, AK",02164,2,0,5093,0000,2,0,5093,0000,2,0,5093,0000,2,0,5086,0000,2,0,5081,0000,2,0,5081,0000,0,1668,0000,0000,0,1823,0000,0000,0,1631,0000,0000,2,0,5081,0000
"Matanuska-Susitna, AK",02170,2,0,5093,0000,2,0,5093,0000,2,0,5093,0000,0,5188,0000,0000,0,6509,0000,0000,0,17816,0000,0000,0,39683,0000,0000,0,59322,0000,0000,0,88995,0000,0000,0,6509,0000,0000
"Nome, AK",02180,1,10127,5092,0000,1,11877,5092,0000,1,12272,5092,0000,0,6091,0000,0000,0,5749,0000,0000,0,6537,0000,0000,0,8288,0000,0000,0,9196,0000,0000,0,9492,0000,0000,0,5749,0000,0000
"North Slope, AK",02185,2,0,5092,0000,2,0,5092,0000,2,0,5092,0000,0,2520,0000,0000,0,3065,0000,0000,0,4199,0000,0000,0,5979,0000,0000,0,7385,0000,0000,0,9430,0000,0000,0,3451,0000,0000
"Northwest Arctic, AK",02188,2,0,5092,0000,2,0,5092,0000,2,0,5092,0000,0,3560,0000,0000,0,4434,0000,0000,0,4831,0000,0000,0,6113,0000,0000,0,7208,0000,0000,0,7523,0000,0000,0,4048,0000,0000
"Petersburg, AK",02195,2,0,5091,0000,2,0,5091,0000,2,0,5091,0000,1,4181,5090,0000,1,4913,5090,0000,1,6167,5090,0000,1,7042,5090,0000,1,6684,5090,0000,0,3815,0000,0000,1,4920,5090,0000
"Prince of Wales-Hyder, AK",02198,2,0,5091,0000,2,0,5091,0000,2,0,5091,0000,0,1772,0000,0000,0,3782,0000,0000,0,3822,0000,0000,0,6278,0000,0000,0,6146,0000,0000,0,5559,0000,0000,0,3782,0000,0000
"Sitka, AK",02220,2,0,5091,0000,2,0,5091,0000,2,0,5091,0000,0,6690,0000,0000,0,6109,0000,0000,0,7803,0000,0000,0,8588,0000,0000,0,8835,0000,0000,0,8881,0000,0000,0,6073,0000,0000
"Skagway, AK",02230,2,0,5084,0000,2,0,5084,0000,2,0,5084,0000,2,0,5084,0000,2,0,5084,0000,2,0,5084,0000,2,0,5084,0000,2,0,5084,0000,0,968,0000,0000,2,0,5084,0000
"Southeast Fairbanks, AK",02240,2,0,5094,0000,2,0,5094,0000,2,0,5094,0000,1,0,5085,0000,0,4330,0000,0000,0,5676,0000,0000,0,5913,0000,0000,0,6174,0000,0000,0,7029,0000,0000,0,4308,0000,0000
"Valdez-Cordova, AK",02261,2,0,5093,0000,2,0,5093,0000,2,0,5093,0000,0,4603,0000,0000,0,4955,0000,0000,0,8348,0000,0000,0,9952,0000,0000,0,10195,0000,0000,0,9636,0000,0000,0,4977,0000,0000
"Wade Hampton, AK",02270,2,0,5092,0000,2,0,5092,0000,2,0,5092,0000,0,3128,0000,0000,0,3917,0000,0000,0,4665,0000,0000,0,5791,0000,0000,0,7028,0000,0000,0,7459,0000,0000,0,3917,0000,0000
"Wrangell, AK",02275,2,0,5090,0000,2,0,5090,0000,2,0,5090,0000,2,0,5090,0000,2,0,5090,0000,2,0,5090,0000,2,0,5090,0000,2,0,5090,0000,0,2369,0000,0000,2,0,5090,0000
"Yakutat, AK",02282,2,0,5091,0000,2,0,5091,0000,2,0,5091,0000,2,0,5087,0000,2,0,5084,0000,2,0,5084,0000,2,0,5084,0000,0,808,0000,0000,0,662,0000,0000,2,0,5084,0000
"Yukon-Koyukuk, AK",02290,2,0,5094,0000,2,0,5094,0000,2,0,5094,0000,1,6332,5082,0000,1,7039,5082,0000,1,7873,5082,0000,1,8478,5082,0000,0,6551,0000,0000,0,5588,0000,0000,1,7045,5082,0000
ARIZONA,04000,0,435573,0000,0000,0,499261,0000,0000,0,749587,0000,0000,0,1302161,0000,0000,0,1770900,0000,0000,0,2718215,0000,0000,0,3665228,0000,0000,0,5130632,0000,0000,0,6392017,0000,0000,0,1775399,0000,0000
"Apache, AZ",04001,0,17765,0000,0000,0,24095,0000,0000,0,27767,0000,0000,0,30438,0000,0000,0,32298,0000,0000,0,52108,0000,0000,0,61591,0000,0000,0,69423,0000,0000,0,71518,0000,0000,0,32304,0000,0000
"Cochise, AZ",04003,0,40998,0000,0000,0,34627,0000,0000,0,31488,0000,0000,0,55039,0000,0000,0,61910,0000,0000,0,85686,0000,0000,0,97624,0000,0000,0,117755,0000,0000,0,131346,0000,0000,0,61918,0000,0000
"Coconino, AZ",04005,0,14064,0000,0000,0,18770,0000,0000,0,23910,0000,0000,0,41857,0000,0000,0,48326,0000,0000,0,75008,0000,0000,0,96591,0000,0000,0,116320,0000,0000,0,134421,0000,0000,0,48326,0000,0000
"Gila, AZ",04007,0,31016,0000,0000,0,23867,0000,0000,0,24158,0000,0000,0,25745,0000,0000,0,29255,0000,0000,0,37080,0000,0000,0,40216,0000,0000,0,51335,0000,0000,0,53597,0000,0000,0,29255,0000,0000
"Graham, AZ",04009,0,10373,0000,0000,0,12113,0000,0000,0,12985,0000,0000,0,14045,0000,0000,0,16578,0000,0000,0,22862,0000,0000,0,26554,0000,0000,0,33489,0000,0000,0,37220,0000,0000,0,16578,0000,0000
"Greenlee, AZ",04011,0,9886,0000,0000,0,8698,0000,0000,0,12805,0000,0000,0,11509,0000,0000,0,10330,0000,0000,0,11406,0000,0000,0,8008,0000,0000,0,8547,0000,0000,0,8437,0000,0000,0,10330,0000,0000
"La Paz, AZ",04012,2,0,5071,0000,2,0,5071,0000,2,0,5071,0000,2,0,5071,0000,2,0,5071,0000,2,0,5071,0000,0,13844,0000,0000,0,19715,0000,0000,0,20489,0000,0000,2,0,5071,0000
"Maricopa, AZ",04013,0,150970,0000,0000,0,186193,0000,0000,0,331770,0000,0000,0,663510,0000,0000,0,967522,0000,0000,0,1509052,0000,0000,0,2122101,0000,0000,0,3072149,0000,0000,0,3817117,0000,0000,0,971228,0000,0000
"Mohave, AZ",04015,0,5572,0000,0000,0,8591,0000,0000,0,8510,0000,0000,0,7736,0000,0000,0,25857,0000,0000,0,55865,0000,0000,0,93497,0000,0000,0,155032,0000,0000,0,200186,0000,0000,0,25857,0000,0000
"Navajo, AZ",04017,0,21202,0000,0000,0,25309,0000,0000,0,29446,0000,0000,0,37994,0000,0000,0,47715,0000,0000,0,67629,0000,0000,0,77658,0000,0000,0,97470,0000,0000,0,107449,0000,0000,0,47559,0000,0000
"Pima, AZ",04019,0,55676,0000,0000,0,72838,0000,0000,0,141216,0000,0000,0,265660,0000,0000,0,351667,0000,0000,0,531443,0000,0000,0,666880,0000,0000,0,843746,0000,0000,0,980263,0000,0000,0,351667,0000,0000
"Pinal, AZ",04021,0,22081,0000,0000,0,28841,0000,0000,0,43191,0000,0000,0,62673,0000,0000,0,67916,0000,0000,0,90918,0000,0000,0,116379,0000,0000,0,179727,0000,0000,0,375770,0000,0000,0,68579,0000,0000
